zip,county,state,lat,lng
01529,Worcester,MA,42.03906,-71.57767
01531,Worcester,MA,42.31929,-72.12794
01532,Worcester,MA,42.32314,-71.64621
01534,Worcester,MA,42.13991,-71.64433
01535,Worcester,MA,42.2695,-72.07794
01536,Worcester,MA,42.23189,-71.69219
01537,Worcester,MA,42.16177,-71.89217
01540,Worcester,MA,42.11649,-71.85819
01541,Worcester,MA,42.45649,-71.88128
01542,Worcester,MA,42.20241,-71.90995
01543,Worcester,MA,42.38482,-71.96726
01545,Worcester,MA,42.28419,-71.71558
01550,Worcester,MA,42.06039,-72.03377
01560,Worcester,MA,42.17496,-71.67762
01561,Worcester,MA,42.44581,-71.68845
01562,Worcester,MA,42.24715,-71.99189
01564,Worcester,MA,42.44124,-71.77297
01566,Worcester,MA,42.1047,-72.07745
01568,Worcester,MA,42.17694,-71.60516
01569,Worcester,MA,42.05895,-71.63741
01570,Worcester,MA,42.05206,-71.8485
01571,Worcester,MA,42.05501,-71.93519
01581,Worcester,MA,42.26815,-71.61402
01583,Worcester,MA,42.37034,-71.78502
01585,Worcester,MA,42.23762,-72.16311
01588,Worcester,MA,42.11837,-71.66836
01590,Worcester,MA,42.13387,-71.75179
01602,Worcester,MA,42.27219,-71.84946
01603,Worcester,MA,42.24373,-71.84429
01604,Worcester,MA,42.25085,-71.7683
01605,Worcester,MA,42.28979,-71.78802
01606,Worcester,MA,42.31367,-71.79614
01607,Worcester,MA,42.22684,-71.79037
01608,Worcester,MA,42.2621,-71.80145
01609,Worcester,MA,42.28592,-71.82853
01610,Worcester,MA,42.24645,-71.80968
01611,Worcester,MA,42.23945,-71.87702
01612,Worcester,MA,42.31037,-71.93095
01701,Middlesex,MA,42.32195,-71.43796
01702,Middlesex,MA,42.28242,-71.43428
01718,Middlesex,MA,42.52165,-71.42983
01719,Middlesex,MA,42.48837,-71.51779
01720,Middlesex,MA,42.48397,-71.43809
01721,Middlesex,MA,42.25726,-71.46867
01730,Middlesex,MA,42.4995,-71.27799
01731,Middlesex,MA,42.46422,-71.28202
01740,Worcester,MA,42.43616,-71.60728
01741,Middlesex,MA,42.53001,-71.35128
01742,Middlesex,MA,42.46221,-71.36504
01745,Worcester,MA,42.29155,-71.50101
01746,Middlesex,MA,42.19775,-71.44499
01747,Worcester,MA,42.12477,-71.535
01748,Middlesex,MA,42.2255,-71.53781
01749,Middlesex,MA,42.38868,-71.54648
01752,Middlesex,MA,42.3494,-71.54681
01754,Middlesex,MA,42.4264,-71.45607
01756,Worcester,MA,42.09301,-71.55146
01757,Worcester,MA,42.15723,-71.51978
01760,Middlesex,MA,42.28436,-71.34966
01770,Middlesex,MA,42.23416,-71.37532
01772,Worcester,MA,42.30144,-71.5304
01773,Middlesex,MA,42.42572,-71.31013
01775,Middlesex,MA,42.42983,-71.51146
01776,Middlesex,MA,42.38456,-71.42316
01778,Middlesex,MA,42.3583,-71.35895
01801,Middlesex,MA,42.48694,-71.15415
01803,Middlesex,MA,42.5028,-71.20147
01810,Essex,MA,42.64669,-71.16517
01821,Middlesex,MA,42.54999,-71.25206
01824,Middlesex,MA,42.59156,-71.35553
01826,Middlesex,MA,42.68323,-71.30063
01826,Essex,MA,42.68323,-71.30063
01827,Middlesex,MA,42.67643,-71.50052
01830,Essex,MA,42.7959,-71.05323
01832,Essex,MA,42.79099,-71.13133
01833,Essex,MA,42.72409,-70.9821
01834,Essex,MA,42.75198,-71.01486
01835,Essex,MA,42.75292,-71.08602
01840,Essex,MA,42.70695,-71.16014
01841,Essex,MA,42.71077,-71.16494
01843,Essex,MA,42.68985,-71.16095
01844,Essex,MA,42.73426,-71.18858
01845,Essex,MA,42.67132,-71.08669
01850,Middlesex,MA,42.65569,-71.30292
01851,Middlesex,MA,42.62915,-71.33674
01852,Middlesex,MA,42.63231,-71.29538
01854,Middlesex,MA,42.64939,-71.34827
01860,Essex,MA,42.83858,-71.01194
01862,Middlesex,MA,42.57427,-71.29437
01863,Middlesex,MA,42.63274,-71.39132
01864,Middlesex,MA,42.58156,-71.08759
01867,Middlesex,MA,42.53505,-71.1055
01876,Middlesex,MA,42.61206,-71.22733
01876,Essex,MA,42.61206,-71.22733
01879,Middlesex,MA,42.66626,-71.42911
01880,Middlesex,MA,42.50348,-71.06559
01886,Middlesex,MA,42.58642,-71.44008
01887,Middlesex,MA,42.56091,-71.16541
01890,Middlesex,MA,42.45177,-71.14628
01901,Essex,MA,42.46125,-70.94639
01902,Essex,MA,42.4712,-70.93983
01904,Essex,MA,42.49151,-70.97166
01905,Essex,MA,42.46355,-70.9733
01906,Essex,MA,42.46922,-71.01299
01907,Essex,MA,42.47572,-70.90684
01908,Essex,MA,42.42856,-70.92614
01913,Essex,MA,42.85297,-70.94459
01915,Essex,MA,42.56841,-70.8647
01921,Essex,MA,42.6815,-71.01887
01922,Essex,MA,42.75862,-70.91758
01923,Essex,MA,42.57398,-70.94923
01929,Essex,MA,42.63478,-70.77684
01930,Essex,MA,42.62605,-70.68966
01937,Essex,MA,42.58579,-70.98406
01938,Essex,MA,42.68568,-70.83989
01940,Essex,MA,42.53523,-71.03695
01944,Essex,MA,42.58154,-70.76825
01945,Essex,MA,42.49924,-70.86348
01949,Essex,MA,42.6043,-71.01641
01950,Essex,MA,42.81237,-70.88785
01951,Essex,MA,42.77742,-70.85022
01952,Essex,MA,42.84655,-70.86163
01960,Essex,MA,42.53374,-70.97222
01965,Essex,MA,42.56294,-70.82996
01966,Essex,MA,42.65432,-70.62227
01969,Essex,MA,42.72235,-70.88832
01970,Essex,MA,42.51298,-70.90266
01982,Essex,MA,42.62669,-70.85789
01983,Essex,MA,42.63728,-70.94251
01984,Essex,MA,42.60078,-70.8826
01985,Essex,MA,42.7939,-70.96906
02019,Norfolk,MA,42.0777,-71.47407
02021,Norfolk,MA,42.17504,-71.12645
02025,Norfolk,MA,42.23603,-70.81906
02026,Norfolk,MA,42.24665,-71.1777
02030,Norfolk,MA,42.2366,-71.28421
02032,Norfolk,MA,42.15489,-71.2155
02035,Norfolk,MA,42.06266,-71.24613
02038,Norfolk,MA,42.08622,-71.41126
